timestamp	px_est	py_est	v_est	yaw_est	yawrate_est	sensor_type	NIS	px_meas	py_meas	px_gt	py_gt	vx_gt	vy_gt	yaw_gt	yawrate_gt	x_rmse	y_rmse	vx_rmse	vy_rmse
1477010448400000	20.2123	13.7781	4.83139	1.74249	0.544021	L	1.31452	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.73784	0.53892	0.0622402	0.0930366	0.472275	0.386431
1477010448450000	20.1563	14.0057	4.81423	1.77944	0.563244	R	0.841187	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	1.76479	0.540258	0.0621754	0.0926286	0.470169	0.384673
1477010448500000	20.101	14.2605	4.84514	1.80849	0.563464	L	0.346203	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	1.7918	0.54151	0.0620688	0.0922778	0.468118	0.382938
1477010448550000	20.0292	14.4895	4.84154	1.83977	0.564854	R	1.37717	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.81888	0.542677	0.0618698	0.0919152	0.466129	0.381225
1477010448600000	19.9204	14.7437	4.8879	1.88326	0.580247	L	1.18559	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.84601	0.543759	0.0616085	0.0916485	0.464427	0.379541
1477010448650000	19.8543	14.962	4.86898	1.89911	0.552801	R	3.41202	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	1.8732	0.544754	0.0613467	0.0913295	0.462567	0.377877
1477010448700000	19.8241	15.1798	4.83114	1.90798	0.53357	L	2.18701	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	1.90044	0.545663	0.0611583	0.0909779	0.460569	0.376232
1477010448750000	19.6908	15.3897	4.80903	1.98638	0.639461	R	7.82586	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	1.92772	0.546486	0.0609199	0.0905953	0.459227	0.374728
1477010448800000	19.6617	15.5781	4.73054	1.994	0.615143	L	3.66507	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	1.95504	0.547223	0.060765	0.0902276	0.457448	0.373349
1477010448850000	19.5683	15.7834	4.7153	2.01981	0.605436	R	1.35817	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.98241	0.547873	0.0606109	0.0899085	0.455652	0.372034
